TOKEN,N
APLAUDIDO,2
APOCALIPTICO,2
APOCALIPTICO,2
APOIADAS,2
APOIADAS,2
APOIADOS,2
APOIADOS,2
APPLECO2OXRG4L,2
APPLECO2OXRG4L,2
APRECIACAO,2
APRECIACAO,2
APREENSIVA,2
APREENSIVA,2
APRENDEM,2
APRENDEM,2
APRENDEMOS,2
APRENDEMOS,2
APRENDIZADO,2
APRENDIZADO,2
APRESENTASE,2
APRESENTASE,2
APRESENTASINTOMAS,2
APRESENTASINTOMAS,2
APROVEITADOR,2
APROVEITADOR,2
APROVEITAM,2
APROVEITAM,2
APROVEITAMENTO,2
APROVEITAMENTO,2
APROVEITEM,2
APROVEITEM,2
APROXIMADA,2
APROXIMADA,2
APROXIMAVA,2
APROXIMAVA,2
APURANDO,2
APURANDO,2
ARABIA,2
ARABIA,2
ARACAJUSERGIPE,2
ARACAJUSERGIPE,2
ARACARIGUAMA,2
ARACARIGUAMA,2
ARARIPINA,2
ARARIPINA,2
ARDENTE,2
ARDENTE,2
AREAL,2
AREAL,2
AREDE,2
AREDE,2
ARGENTINOS,2
ARGENTINOS,2
ARMADOS,2
ARMADOS,2
ARMAZENADAS,2
ARMAZENADAS,2
ARNAO,2
ARNAO,2
ARNS,2
ARNS,2
ARR,2
ARR,2
ARRANHANDO,2
ARRANHANDO,2
ARREBENTAR,2
ARREBENTAR,2
ARREGALADOS,2
ARREGALADOS,2
ARRISCAMOS,2
ARRISCAMOS,2
ARRISQUEM,2
ARRISQUEM,2
ARROMBADA,2
ARROMBADA,2
ARTICULADAS,2
ARTICULADAS,2
ARTOSSE,2
ARTOSSE,2
ASA,2
ASA,2
ASMAISLIDASDASEMANA,2
ASMAISLIDASDASEMANA,2
ASPAN,2
ASPAN,2
ASS,2
ASS,2
ASSALTANDO,2
ASSALTANDO,2
ASSASSINAR,2
ASSASSINAR,2
ASSEDIAR,2
ASSEDIAR,2
ASSENTOS,2
ASSENTOS,2
ASSEPTICOS,2
ASSEPTICOS,2
ASSOC,2
ASSOC,2
ASSOLADOS,2
ASSOLADOS,2
ASSOMBRANDO,2
ASSOMBRANDO,2
ASTON,2
ASTON,2
ASTRO,2
ASTRO,2
ASTRONAUTAS,2
ASTRONAUTAS,2
ATACADAO,2
ATACADAO,2
ATAIDE,2
ATAIDE,2
ATENCIOSO,2
ATENCIOSO,2
ATENDELA,2
ATENDELA,2
ATENDIDASEM,2
ATENDIDASEM,2
ATENDIMENTOMEDICO,2
ATENDIMENTOMEDICO,2
ATENTADO,2
ATENTADO,2
ATENTAR,2
ATENTAR,2
ATERRORIZADA,2
ATERRORIZADA,2
ATESTE,2
ATESTE,2
ATESTO,2
ATESTO,2
ATHLETICO,2
ATHLETICO,2
ATIPICA,2
ATIPICA,2
ATIROU,2
ATIROU,2
ATORES,2
ATORES,2
ATR,2
ATR,2
ATRAPALHAR,2
ATRAPALHAR,2
ATRASA,2
ATRASA,2
ATRASAM,2
ATRASAM,2
ATRASANDO,2
ATRASANDO,2
ATRASE,2
ATRASE,2
ATRASOS,2
ATRASOS,2
ATRAVESSADO,2
ATRAVESSADO,2
ATRAVESSAREMOS,2
ATRAVESSAREMOS,2
ATRAVESSARMOS,2
ATRAVESSARMOS,2
ATROPELAMENTOS,2
ATROPELAMENTOS,2
ATROPELOU,2
ATROPELOU,2
ATUADO,2
ATUADO,2
ATUARAO,2
ATUARAO,2
ATUAVAM,2
ATUAVAM,2
AUDIENCIAS,2
AUDIENCIAS,2
AUGE,2
AUGE,2
AUMENTASE,2
AUMENTASE,2
AURELIO,2
AURELIO,2
AUSENTES,2
AUSENTES,2
AUSTRIACO,2
AUSTRIACO,2
AUTOFLAGELO,2
AUTOFLAGELO,2
AUTOMEDIQUEM,2
AUTOMEDIQUEM,2
AUTOMOBILISTICOS,2
AUTOMOBILISTICOS,2
AUXILIOS,2
AUXILIOS,2
AVANHANDAVA,2
AVANHANDAVA,2
AVASSALADOR,2
AVASSALADOR,2
AVER,2
AVER,2
AVIAN,2
AVIAN,2
AVIARIO,2
AVIARIO,2
AVMB,2
AVMB,2
AZITROMICINAE,2
AZITROMICINAE,2
AZITROMICINAZINCO,2
AZITROMICINAZINCO,2
AZITROMOCINA,2
AZITROMOCINA,2
Apenas,2
Apenas,2
B6,2
B6,2
BABBEL,2
BABBEL,2
BACANA,2
BACANA,2
BACANGA,2
BACANGA,2
BACHAREL,2
BACHAREL,2
BACTERIANAS,2
BACTERIANAS,2
BAGAGENS,2
BAGAGENS,2
BAIANOS,2
BAIANOS,2
BAIXISSIMA,2
BAIXISSIMA,2
BAJAC,2
BAJAC,2
BALAIO,2
BALAIO,2
BALCAO,2
BALCAO,2
BAMBEANTES,2
BAMBEANTES,2
BANAIS,2
BANAIS,2
BANDNEWS,2
BANDNEWS,2
BANNER,2
BANNER,2
BARATEAR,2
BARATEAR,2
BARBARIDADES,2
BARBARIDADES,2
BARBOZA,2
BARBOZA,2
BARCELONA,2
BARCELONA,2
BARE,2
BARE,2
BARNAR,2
BARNAR,2
BASEAR,2
BASEAR,2
BASEARAM,2
BASEARAM,2
BASICONAO,2
BASICONAO,2
BATALHANDO,2
BATALHANDO,2
BATIZADA,2
BATIZADA,2
BATIZADO,2
BATIZADO,2
BCP,2
BCP,2
BEBI,2
BEBI,2
BEIJA,2
BEIJA,2
BEIJOU,2
BEIJOU,2
BEL,2
BEL,2
BELGA,2
BELGA,2
BELLEVUE,2
BELLEVUE,2
BELTRAME,2
BELTRAME,2
BEMPARANA,2
BEMPARANA,2
BENE,2
BENE,2
BENEFICIADO,2
BENEFICIADO,2
BENEFICIARIO,2
BENEFICIARIO,2
BENETELO,2
BENETELO,2
BENETTI,2
BENETTI,2
BENNER,2
BENNER,2
BERCO,2
BERCO,2
BERENGUER,2
BERENGUER,2
BERNARDINO,2
BERNARDINO,2
BETHSAHAO,2
BETHSAHAO,2
BHMG,2
BHMG,2
BICHOS,2
BICHOS,2
BILHETE,2
BILHETE,2
BIOLOGA,2
BIOLOGA,2
BIOLOGICOS,2
BIOLOGICOS,2
BITLY3AKY1ZC,2
BITLY3AKY1ZC,2
BITLYUNFPABRCOVID,2
BITLYUNFPABRCOVID,2
BJOSS,2
BJOSS,2
BLACK,2
BLACK,2
BLOQUEIAM,2
BLOQUEIAM,2
BLOQUINHOS,2
BLOQUINHOS,2
BLUMENAUENSE,2
BLUMENAUENSE,2
BLUSOFT,2
BLUSOFT,2
BOBOS,2
BOBOS,2
BOCADO,2
BOCADO,2
BOCAL,2
BOCAL,2
BOCALIDADES,2
BOCALIDADES,2
BOCANARIZ,2
BOCANARIZ,2
BOEIRA,2
BOEIRA,2
BOIAESTAO,2
BOIAESTAO,2
BOLETIMDENOTICIAS,2
BOLETIMDENOTICIAS,2
BOLO,2
BOLO,2
BOLSOBOSTA,2
BOLSOBOSTA,2
BOLSOMINION,2
BOLSOMINION,2
BOLSONAROGENOCIDA,2
BOLSONAROGENOCIDA,2
BOLSONSRO,2
BOLSONSRO,2
BOLSOS,2
BOLSOS,2
BORISJOHNSON,2
BORISJOHNSON,2
BOTUCATUENSES,2
BOTUCATUENSES,2
BRA,2
BRA,2
BRASI,2
BRASI,2
BRASILHIDROXICLOROQUINA,2
BRASILHIDROXICLOROQUINA,2
BRASILIENSE,2
BRASILIENSE,2
BRENDA,2
BRENDA,2
BRIGAS,2
BRIGAS,2
BRINCAMUITOS,2
BRINCAMUITOS,2
BRONCODILATADORES,2
BRONCODILATADORES,2
BROOKLIN,2
BROOKLIN,2
BRUTAL,2
BRUTAL,2
BUROCRATICO,2
BUROCRATICO,2
BUSCADO,2
BUSCADO,2
BUSCARAM,2
BUSCARAM,2
BV,2
BV,2
CABERA,2
CABERA,2
CABOFRIENSE,2
CABOFRIENSE,2
CAC,2
CAC,2
CACHECOLLENCO,2
CACHECOLLENCO,2
CACHOEIRA,2
CACHOEIRA,2
CADASTRADO,2
CADASTRADO,2
CAGA,2
CAGA,2
CAIC,2
CAIC,2
CAIXADAGUA,2
CAIXADAGUA,2
CALADOS,2
CALADOS,2
CALCADAO,2
CALCADAO,2
CALILA,2
CALILA,2
CALVICIE,2
CALVICIE,2
CAMARADA,2
CAMARADA,2
CAMBOTA,2
CAMBOTA,2
CAMBURI,2
CAMBURI,2
CAMINHAM,2
CAMINHAM,2
CAMINHOESPIPAS,2
CAMINHOESPIPAS,2
CAMPANATOAGENCIA,2
CAMPANATOAGENCIA,2
CAMPOGRANDE,2
CAMPOGRANDE,2
CAMUFLANDO,2
CAMUFLANDO,2
CANCELA,2
CANCELA,2
CANCELANDO,2
CANCELANDO,2
CANCRO,2
CANCRO,2
CANDEIAS,2
CANDEIAS,2
CANDIDATA,2
CANDIDATA,2
CANJARANAS,2
CANJARANAS,2
CANOASCONTRAOCORONAVIRUS,2
CANOASCONTRAOCORONAVIRUS,2
CAPITA,2
CAPITA,2
CARAJAS,2
CARAJAS,2
CARDIOPATIAS,2
CARDIOPATIAS,2
CARDS,2
CARDS,2
CARINA,2
CARINA,2
CARLAO,2
CARLAO,2
CARLOPOLIS,2
CARLOPOLIS,2
CARNICA,2
CARNICA,2
CARNICAS,2
CARNICAS,2
CARREGAMENTO,2
CARREGAMENTO,2
CARRIE,2
CARRIE,2
CARRINHOS,2
CARRINHOS,2
CAS,2
CAS,2
CASAI,2
CASAI,2
CASAME,2
CASAME,2
CASAMINHA,2
CASAMINHA,2
CASAPOR,2
CASAPOR,2
CASASE,2
CASASE,2
CASAUSE,2
CASAUSE,2
CASCO,2
CASCO,2
CASINHAS,2
CASINHAS,2
CASSIO,2
CASSIO,2
CATALAOGO,2
CATALAOGO,2
CATEDRAL,2
CATEDRAL,2
CATETE,2
CATETE,2
CATOLICOS,2
CATOLICOS,2
CATRACA,2
CATRACA,2
CAUCAIA,2
CAUCAIA,2
CAUSAMORTE,2
CAUSAMORTE,2
CAUSAMORTIS,2
CAUSAMORTIS,2
CAVALCANTE,2
CAVALCANTE,2
CAVALOS,2
CAVALOS,2
CBN,2
CBN,2
CEBOLA,2
CEBOLA,2
CELENE,2
CELENE,2
CELERE,2
CELERE,2
CELERIDADE,2
CELERIDADE,2
CEMCEO,2
CEMCEO,2
CENARIOS,2
CENARIOS,2
CENSURA,2
CENSURA,2
CENTIMETROS,2
CENTIMETROS,2
CENTRALIZADA,2
CENTRALIZADA,2
CENTROAVANTE,2
CENTROAVANTE,2
CENTROSOBRAL,2
CENTROSOBRAL,2
CEO,2
CEO,2
CERCADINHO,2
CERCADINHO,2
CERTIFICADO,2
CERTIFICADO,2
CERTIFICADOS,2
CERTIFICADOS,2
CESSA,2
CESSA,2
CEUS,2
CEUS,2
CHANCELER,2
CHANCELER,2
CHAPEUMANGUEIRA,2
CHAPEUMANGUEIRA,2
CHATOS,2
CHATOS,2
CHEGARAO,2
CHEGARAO,2
CHEGAREMOS,2
CHEGAREMOS,2
CHEGARIA,2
CHEGARIA,2
CHEGARMOS,2
CHEGARMOS,2
CHEGAVAM,2
CHEGAVAM,2
CHERA,2
CHERA,2
CHIADO,2
CHIADO,2
CHICUNGUIA,2
CHICUNGUIA,2
CHIKUGUNYA,2
CHIKUGUNYA,2
CHIKUNGUNHA,2
CHIKUNGUNHA,2
CHIQUEIRO,2
CHIQUEIRO,2
CHOCADO,2
CHOCADO,2
CHOREI,2
CHOREI,2
CHURUMELASDESSAS,2
CHURUMELASDESSAS,2
CHUVA,2
CHUVA,2
CHUVAS,2
CHUVAS,2
CIDADA,2
CIDADA,2
CIDADEDEGUARULHOS,2
CIDADEDEGUARULHOS,2
CIDADEHOHE,2
CIDADEHOHE,2
CIMI,2
CIMI,2
CIS,2
CIS,2
CISO,2
CISO,2
CLAMAR,2
CLAMAR,2
CLARAS,2
CLARAS,2
CLARISSA,2
CLARISSA,2
CLASSIFICAM,2
CLASSIFICAM,2
CLEBERSON,2
CLEBERSON,2
CLEOMARA,2
CLEOMARA,2
CLEONICE,2
CLEONICE,2
CLEZIO,2
CLEZIO,2
CLODOALDO,2
CLODOALDO,2
CLORO,2
CLORO,2
CLOROCOVID19,2
CLOROCOVID19,2
CLORORQUINA,2
CLORORQUINA,2
CMA,2
CMA,2
CMPSTART,2
CMPSTART,2
CMSPSAUDE,2
CMSPSAUDE,2
COALIZAO,2
COALIZAO,2
COBERTORES,2
COBERTORES,2
COBERTURACOVID19AMAZONIA,2
COBERTURACOVID19AMAZONIA,2
COBERTURADV,2
COBERTURADV,2
COBRAMOS,2
COBRAMOS,2
COBROU,2
COBROU,2
CODID19,2
CODID19,2
COERR,2
COERR,2
COFFEE,2
COFFEE,2
COFRE,2
COFRE,2
COGITARAM,2
COGITARAM,2
COIBIR,2
COIBIR,2
COLAR,2
COLAR,2
COLCHOES,2
COLCHOES,2
COLETANDO,2
COLETANDO,2
COLETES,2
COLETES,2
COLINAS,2
COLINAS,2
COLLEGE,2
COLLEGE,2
COLOCALO,2
COLOCALO,2
COLOCARAO,2
COLOCARAO,2
COLOCARIAM,2
COLOCARIAM,2
COLOCAVA,2
COLOCAVA,2
COLUMBIA,2
COLUMBIA,2
COLUNAGRANDEANGULAR,2
COLUNAGRANDEANGULAR,2
COMBATA,2
COMBATA,2
COMBINAM,2
COMBINAM,2
COMENDADOR,2
COMENDADOR,2
COMETERAM,2
COMETERAM,2
COMETIDOS,2
COMETIDOS,2
COMICO,2
COMICO,2
COMOCHENA,2
COMOCHENA,2
COMPANHEIRAS,2
COMPANHEIRAS,2
COMPARAVEL,2
COMPARAVEL,2
COMPARECAM,2
COMPARECAM,2
COMPAROU,2
COMPAROU,2
COMPARSAS,2
COMPARSAS,2
COMPATIBILIZADO,2
COMPATIBILIZADO,2
COMPLETALO,2
COMPLETALO,2
COMPLICOU,2
COMPLICOU,2
COMPRAMOS,2
COMPRAMOS,2
COMPRASSEM,2
COMPRASSEM,2
COMPREENDO,2
COMPREENDO,2
COMPUTADORES,2
COMPUTADORES,2
COMTODOS,2
COMTODOS,2
CONCEDE,2
CONCEDE,2
CONCIENCIA,2
CONCIENCIA,2
CONCLUISE,2
CONCLUISE,2
CONCORDAR,2
CONCORDAR,2
CONCURSOS,2
CONCURSOS,2
CONDENAR,2
CONDENAR,2
CONECTADOAOPODER,2
CONECTADOAOPODER,2
CONECTESE,2
CONECTESE,2
CONEXOES,2
CONEXOES,2
CONFEDERACAO,2
CONFEDERACAO,2
CONFI,2
CONFI,2
CONFIEI,2
CONFIEI,2
CONFIEM,2
CONFIEM,2
CONFINADAS,2
CONFINADAS,2
CONFLITANTES,2
CONFLITANTES,2
CONFLITO,2
CONFLITO,2
CONFLITOS,2
CONFLITOS,2
CONFUNDAM,2
CONFUNDAM,2
CONFUSAS,2
CONFUSAS,2
CONFUSOS,2
CONFUSOS,2
CONGESTIONADAS,2
CONGESTIONADAS,2
CONHECENDO,2
CONHECENDO,2
CONHECIDOSINTERNADOS,2
CONHECIDOSINTERNADOS,2
CONIGLIO,2
CONIGLIO,2
CONQUISTOU,2
CONQUISTOU,2
CONSCIENTIZEM,2
CONSCIENTIZEM,2
CONSEGUIRAO,2
CONSEGUIRAO,2
CONSERVAREM,2
CONSERVAREM,2
CONSISTENTES,2
CONSISTENTES,2
CONSOLE,2
CONSOLE,2
CONSOLO,2
CONSOLO,2
CONSTANTES,2
CONSTANTES,2
CONSTATAREM,2
CONSTATAREM,2
CONSTITUIR,2
CONSTITUIR,2
CONSTRUIDAS,2
CONSTRUIDAS,2
CONSULTADOS,2
CONSULTADOS,2
CONSUMIDO,2
CONSUMIDO,2
CONTAGIA,2
CONTAGIA,2
CONTEMCOMIGO,2
CONTEMCOMIGO,2
CONTESTADOS,2
CONTESTADOS,2
CONTINHA,2
CONTINHA,2
CONTINUADA,2
CONTINUADA,2
CONTINUADO,2
CONTINUADO,2
CONTINUARMOS,2
CONTINUARMOS,2
CONTRABANDO,2
CONTRABANDO,2
CONTRAIRA,2
CONTRAIRA,2
CONTRARIAS,2
CONTRARIAS,2
CONTRATAMOS,2
CONTRATAMOS,2
CONTRIBUICOES,2
CONTRIBUICOES,2
CONTRIBUINTES,2
CONTRIBUINTES,2
CONVENIENCIA,2
CONVENIENCIA,2
CONVERSEIRO,2
CONVERSEIRO,2
CONVIDAR,2
CONVIDAR,2
CONVIVERECOMPARTILHAR,2
CONVIVERECOMPARTILHAR,2
CONVOCACAO,2
CONVOCACAO,2
CONVOCANDO,2
CONVOCANDO,2
CONVOQUE,2
CONVOQUE,2
COPARTICIPACAO,2
COPARTICIPACAO,2
COQUINHO,2
COQUINHO,2
COREANO,2
COREANO,2
COREANOS,2
COREANOS,2
CORNAVIRUS,2
CORNAVIRUS,2
CORNO,2
CORNO,2
CORON,2
CORON,2
CORONABOZO,2
CORONABOZO,2
CORONAS,2
CORONAS,2
CORONAVIR,2
CORONAVIR,2
CORONAVIRUIS,2
CORONAVIRUIS,2
CORONAVIRUS19,2
CORONAVIRUS19,2
CORONAVIRUSANTES,2
CORONAVIRUSANTES,2
CORONAVIRUSDESTAQUEPAINELSAUDE,2
CORONAVIRUSDESTAQUEPAINELSAUDE,2
CORONAVIRUSFALA,2
CORONAVIRUSFALA,2
CORONAVIRUSISSO,2
CORONAVIRUSISSO,2
CORONAVIRUSMANDETTA,2
CORONAVIRUSMANDETTA,2
CORONAVIRUSOU,2
CORONAVIRUSOU,2
CORONAVIRUSPELOMUNDO,2
CORONAVIRUSPELOMUNDO,2
CORONAVIRUSQUANDO,2
CORONAVIRUSQUANDO,2
CORONAVIRUSSUSPEITA,2
CORONAVIRUSSUSPEITA,2
CORONAVIRUSTUDO,2
CORONAVIRUSTUDO,2
CORPINHO,2
CORPINHO,2
CORRENTEDOBEM,2
CORRENTEDOBEM,2
CORRIA,2
CORRIA,2
CORRIMAO,2
CORRIMAO,2
CORRUPTO,2
CORRUPTO,2
COSMOS,2
COSMOS,2
COSTELAS,2
COSTELAS,2
COVID19ACORDA,2
COVID19ACORDA,2
COVID19DEPOIS,2
COVID19DEPOIS,2
COVID19MAS,2
COVID19MAS,2
COVID19O,2
COVID19O,2
COVID19OU,2
COVID19OU,2
COVID19PELO,2
COVID19PELO,2
COVID19PERNAMBUCO,2
COVID19PERNAMBUCO,2
COVID19SE,2
COVID19SE,2
COVID19SEM,2
COVID19SEM,2
COZINHAR,2
COZINHAR,2
CQCS,2
CQCS,2
CRANIO,2
CRANIO,2
CRATEUS,2
CRATEUS,2
CREATE,2
CREATE,2
CREDITADOS,2
CREDITADOS,2
CREDO,2
CREDO,2
CREMADAS,2
CREMADAS,2
CREMARAM,2
CREMARAM,2
CREMESP,2
CREMESP,2
CRF,2
CRF,2
CRISTA,2
CRISTA,2
CRONICO,2
CRONICO,2
CRUCIFICANDO,2
CRUCIFICANDO,2
CTT,2
CTT,2
CUIABANO,2
CUIABANO,2
CUIDADOSAMENTE,2
CUIDADOSAMENTE,2
CUIDADOSO,2
CUIDADOSO,2
CUIDARA,2
CUIDARA,2
CUIDARDEVOCE,2
CUIDARDEVOCE,2
CULTAS,2
CULTAS,2
CUMPRIMENTANDO,2
CUMPRIMENTANDO,2
CURRAIS,2
CURRAIS,2
CURTAM,2
CURTAM,2
CVV,2
CVV,2
DACIOLO,2
DACIOLO,2
DAFFRE,2
DAFFRE,2
DAISSON,2
DAISSON,2
DALALBA,2
DALALBA,2
DALTON,2
DALTON,2
DANCARINA,2
DANCARINA,2
DANE,2
DANE,2
DANIELLE,2
DANIELLE,2
DAQUELAS,2
DAQUELAS,2
DAREI,2
DAREI,2
DARIAM,2
DARIAM,2
DARIO,2
DARIO,2
DAVISAO,2
DAVISAO,2
DAYANE,2
DAYANE,2
DEANE,2
DEANE,2
DEBATIDO,2
